time="2025-12-22 16:41:58" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-22 16:42:26" level=info msg="| 404 |          41ns |       127.0.0.1 | GET | / |"
time="2025-12-22 16:42:26" level=info msg="| 404 |          83ns |       127.0.0.1 | GET | /favicon.ico |"
time="2025-12-22 16:45:03" level=info msg="| 200 |   66.211417ms |             ::1 | GET | /login |"
time="2025-12-22 16:45:04" level=info msg="| 404 |          83ns |             ::1 | GET | /favicon.ico |"
time="2025-12-22 16:45:05" level=info msg="| 200 |     29.2945ms |             ::1 | POST | /check |"
time="2025-12-22 16:45:12" level=info msg="| 200 |    7.384666ms |             ::1 | POST | /check |"
time="2025-12-22 16:45:12" level=info msg="| 200 |    8.113458ms |             ::1 | GET | /main |"
time="2025-12-22 16:45:12" level=info msg="| 404 |          42ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-22 16:45:12" level=info msg="| 200 |    2.567291ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:45:13" level=info msg="| 200 |      1.7935ms |             ::1 | GET | /pannel |"
time="2025-12-22 16:45:13" level=info msg="| 200 |     815.208µs |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:45:13" level=info msg="| 200 |   40.694542ms |             ::1 | GET | /configs |"
time="2025-12-22 16:45:15" level=info msg="| 200 |   13.443125ms |             ::1 | GET | /chat_main |"
time="2025-12-22 16:45:15" level=info msg="| 200 |    2.474834ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:45:15" level=info msg="| 200 |    5.126375ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:45:15" level=info msg="| 200 |    8.817416ms |             ::1 | GET | /ipblacks |"
time="2025-12-22 16:45:15" level=info msg="| 200 |   15.386625ms |             ::1 | GET | /replys |"
time="2025-12-22 16:45:16" level=info msg="| 200 |    5.289708ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-22 16:45:17" level=info msg="| 200 |      79.416µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:45:41" level=info msg="| 200 |   64.444583ms |             ::1 | GET | /pannel |"
time="2025-12-22 16:45:41" level=info msg="| 200 | 25.934718708s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjM5MzExMiwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.bko5MeMhwEGoiZWVuAksukFANiBQcZCnT6YnHlHmU5s |"
time="2025-12-22 16:45:41" level=info msg="| 200 |       9.507ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:45:41" level=info msg="| 200 |   18.048958ms |             ::1 | GET | /configs |"
time="2025-12-22 16:45:54" level=info msg="| 200 |   65.106208ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-22 16:45:55" level=info msg="| 200 |      32.658ms |             ::1 | POST | /visitor_login |"
time="2025-12-22 16:45:55" level=info msg="send_kefu_message websocket: close sent {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-12-22 16:45:55" level=info msg="send_kefu_message websocket: close sent {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"272bc178-b924-4600-9071-a32e122a1042\",\"username\":\"Guest\"}}"
time="2025-12-22 16:45:55" level=info msg="send_kefu_message websocket: close sent {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"272bc178-b924-4600-9071-a32e122a1042\",\"username\":\"Guest\"}}"
