time="2025-12-25 09:29:04" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:29:47" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:30:26" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:30:37" level=info msg="| 200 |   59.117125ms |             ::1 | GET | /main |"
time="2025-12-25 09:30:37" level=info msg="| 404 |          41ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-25 09:30:38" level=info msg="| 200 |     134.166µs |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:30:38" level=info msg="| 200 |    2.302083ms |             ::1 | GET | /pannel |"
time="2025-12-25 09:30:38" level=info msg="| 200 |    3.703083ms |             ::1 | GET | /login |"
time="2025-12-25 09:30:38" level=info msg="| 404 |          83ns |             ::1 | GET | /favicon.ico |"
time="2025-12-25 09:30:39" level=info msg="| 200 |    8.886583ms |             ::1 | POST | /check |"
time="2025-12-25 09:30:39" level=info msg="| 200 |    4.801459ms |             ::1 | GET | /main |"
time="2025-12-25 09:30:39" level=info msg="| 404 |          83ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-25 09:30:39" level=info msg="| 200 |    1.776375ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:30:39" level=info msg="| 200 |    1.512375ms |             ::1 | GET | /pannel |"
time="2025-12-25 09:30:39" level=info msg="| 200 |       1.035ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:30:39" level=info msg="| 200 |   25.053875ms |             ::1 | GET | /configs |"
time="2025-12-25 09:30:41" level=info msg="| 200 |     4.13875ms |             ::1 | GET | /contact_list |"
time="2025-12-25 09:30:41" level=info msg="| 200 |   50.568958ms |             ::1 | GET | /contacts?page=1&pagesize=10 |"
time="2025-12-25 09:30:43" level=info msg="| 200 |    2.808875ms |             ::1 | GET | /contacts?page=1&pagesize=10 |"
time="2025-12-25 09:32:33" level=info msg="| 200 |   89.543375ms |             ::1 | POST | /contact |"
time="2025-12-25 09:32:38" level=info msg="| 200 |    7.496541ms |             ::1 | GET | /contacts?page=1&pagesize=10 |"
time="2025-12-25 09:35:11" level=info msg="| 200 |   27.382458ms |             ::1 | POST | /contact/update |"
time="2025-12-25 09:35:11" level=info msg="| 200 |   12.690167ms |             ::1 | GET | /contacts?page=1&pagesize=10 |"
time="2025-12-25 09:35:20" level=info msg="| 200 |    5.268375ms |             ::1 | POST | /contact/update |"
time="2025-12-25 09:35:20" level=info msg="| 200 |    4.069459ms |             ::1 | GET | /contacts?page=1&pagesize=10 |"
time="2025-12-25 09:35:30" level=info msg="| 200 |   70.374708ms |             ::1 | GET | /chat_main |"
time="2025-12-25 09:35:30" level=info msg="| 200 |         860µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:30" level=info msg="| 200 |    3.141583ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:30" level=info msg="| 200 |    4.035083ms |             ::1 | GET | /ipblacks |"
time="2025-12-25 09:35:30" level=info msg="| 200 |   15.092875ms |             ::1 | GET | /replys |"
time="2025-12-25 09:35:31" level=info msg="| 200 |    4.032083ms |             ::1 | GET | /pannel |"
time="2025-12-25 09:35:31" level=info msg="| 200 |    1.2806135s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjYyNjIzOSwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.q4_VNKXDsqSIuXE-3u77AH_yluW44CeZvU2pRbJrERI |"
